11	15	0	3
11	15	16	1
11	15	17	23
11	15	18	20
11	15	0	3
11	15	1	17
11	15	2	7
11	15	4	5
11	15	5	8
11	15	6	2
11	15	10	10
11	15	12	5
11	15	15	74
11	15	16	29
11	15	18	8
11	15	19	27
11	15	20	20
11	15	21	22
11	16	0	13
11	16	1	23
11	16	2	22
11	16	3	1
11	16	4	19
11	16	13	20
11	16	15	21
11	16	16	22
11	16	17	20
11	16	18	5
11	16	19	25
11	16	20	10
11	16	21	1
11	16	22	21
11	16	23	6
11	17	0	1
11	17	1	5
11	17	2	12
11	17	18	30
11	17	19	7
11	17	20	13
11	17	21	10
11	17	22	1
11	17	23	1
11	18	0	12
11	18	1	3
11	18	2	2
11	18	3	8
11	18	4	8
11	18	14	17
11	18	15	36
11	18	16	44
11	18	17	24
11	18	18	23
11	18	19	5
11	18	20	10
11	18	21	7
11	18	22	6
11	18	23	24
11	19	0	22
11	19	1	9
11	19	2	16
11	19	13	18
11	19	14	32
11	19	15	44
11	19	16	39
11	19	17	11
11	19	18	17
11	19	19	11
11	19	20	17
11	19	21	1
11	20	1	2
11	20	2	6
11	20	13	3
11	20	14	6
11	20	15	23
11	20	16	20
11	20	17	4
11	20	18	10
11	20	19	3
11	20	20	17
11	20	21	25
11	20	22	6
11	20	23	9
11	21	0	8
11	21	1	2
11	21	2	4
11	21	3	19
11	21	4	5
11	21	5	2
11	21	7	2
11	22	14	11
11	22	15	12
11	22	16	16
11	22	17	30
11	22	18	36
11	22	19	1
11	22	20	14
11	22	21	92
11	22	22	60
11	22	23	46
11	23	0	47
11	23	1	28
11	23	2	37
11	23	3	6
11	23	14	8
11	23	15	34
11	23	16	58
11	23	17	14
11	23	18	14
11	23	20	19
11	23	21	11
11	23	22	7
11	23	24	8
